blockNumber,timestamp, inputAmount,inputInUSD,outputAmount,outputInUSD,slippage,slippageIsAcceptable
13956029,1641527553,1000000000000000000000000,1019943676342480905000000,9930006869801557865256,1017802013496081201156017,0.002104203782269165,false
13956276,1641527800,1000000000000000000000000,1019943715584993771000000,9951952933977257087826,1020051600847512458838551,-0.00010576451468635728,true
13956523,1641528047,1000000000000000000000000,1019943730474487400000000,9951358186713119059252,1019990795859336471811430,-0.000046142950544392214,true
13956770,1641528294,1000000000000000000000000,1019943738314541154000000,9951203829511487588613,1019975125433771832675672,-0.000030772435962389544,true
13957017,1641528541,1000000000000000000000000,1019943743154080538000000,9951041630639718070515,1019958648888994840170455,-0.000014614058060580248,true
13957264,1641528788,1000000000000000000000000,1019943746439324023000000,9950880352914760893018,1019942265117396389301771,0.0000014523586071568673,true
13957511,1641529035,1000000000000000000000000,1019943748815636744000000,9950719813922926829472,1019925955750576738151197,0.0000174454478383268,true
13957758,1641529282,1000000000000000000000000,1019943750614495546000000,9950560005590375302228,1019909720134330850025529,0.000033366169076343155,true
13958005,1641529529,1000000000000000000000000,1019943752023645755000000,9950400916023762533616,1019893557151778927120117,0.00004921579464323145,true
13958252,1641529776,1000000000000000000000000,1019943753157391584000000,9950242533367451501556,1019877465653452786525052,0.00006499555698713522,true
13958499,1641530023,1000000000000000000000000,1019943754089310097000000,9950084845882508054195,1019861444481563316730443,0.00008070665696036095,true
13958746,1641530271,1000000000000000000000000,1019943754868908512000000,9949927842018795644506,1019845492485627433866701,0.00009635026482457398,true
13958993,1641530519,1000000000000000000000000,1019943755530723394000000,9949771510449174815844,1019829608530475660113775,0.00011192752131616857,true
13959240,1641530767,1000000000000000000000000,1019943756099582310000000,9949615840085400092593,1019813791500486752586279,0.00012743953864791102,true
13959487,1641531014,1000000000000000000000000,1019943756593791797000000,9949460820084282256626,1019798040301799186736481,0.00014288740145995682,true
13959734,1641531261,1000000000000000000000000,1019943757027146866000000,9949306439848471405931,1019782353863388430877770,0.00015827216772978936,true
13959981,1641531508,1000000000000000000000000,1019943757410239738000000,9949152689024176733471,1019766731137483517204928,0.0001735948696410805,true
13960228,1641531757,1000000000000000000000000,1019943757751339084000000,9948999557497131127761,1019751171099591163251206,0.00018885651441835627,true
13960475,1641532005,1000000000000000000000000,1019943758056993755000000,9948847035387537209203,1019735672748279073408627,0.0002040580851250251,true
13960722,1641532252,1000000000000000000000000,1019943758332457860000000,9948695113044452810996,1019720235104813297614967,0.00021920054143231837,true
13960969,1641532499,1000000000000000000000000,1019943758581995871000000,9948543781039888207877,1019704857212706595652257,0.0002342848203571446,true
13961216,1641532746,1000000000000000000000000,1019943758809104651000000,9948393030162782030421,1019689538137213160325337,0.0002493118369695235,true
13961463,1641532993,1000000000000000000000000,1019943759016679530000000,9948242851412975286026,1019674276964795401853313,0.0002642824850758174,true
13961710,1641533240,1000000000000000000000000,1019943759207138088000000,9948093235995238380450,1019659072802575143107445,0.0002791976378737626,true
13961957,1641533488,1000000000000000000000000,1019943759382514230000000,9947944175313401204410,1019643924777780611678099,0.00029405814858263213,true
13962204,1641533736,1000000000000000000000000,1019943759544532197000000,9947795660964621796777,1019628832037197658207409,0.0003088648510509717,true
13962451,1641533983,1000000000000000000000000,1019943759694662758000000,9947647684733795122170,1019613793746626447306903,0.00032361856034124337,true
13962698,1641534231,1000000000000000000000000,1019943759834168373000000,9947500238588124509881,1019598809090349309307074,0.000338320073291154,true
13962945,1641534478,1000000000000000000000000,1019943759964138960000000,9947353314671854849239,1019583877270610481383601,0.0003529701690574427,true
13963192,1641534726,1000000000000000000000000,1019943760085520387000000,9947206905301168673167,1019568997507108884350418,0.0003675696096367975,true
